Open,High,Low,Close,Volume,Date
1.37339,1.37339,1.37332,1.37339,8.0,2021-01-26 11:55:00
1.37338,1.3734,1.37337,1.37337,5.0,2021-01-26 11:55:30
1.37337,1.37347,1.37337,1.37347,24.0,2021-01-26 11:56:00
1.37347,1.37347,1.37329,1.37333,33.0,2021-01-26 11:56:30
1.37333,1.37333,1.37327,1.37327,23.0,2021-01-26 11:57:00
1.37327,1.37329,1.37326,1.37327,14.0,2021-01-26 11:57:30
1.37327,1.37327,1.37311,1.37315,25.0,2021-01-26 11:58:00
1.37313,1.37317,1.37302,1.37316,40.0,2021-01-26 11:58:30
1.37315,1.37326,1.37313,1.37326,42.0,2021-01-26 11:59:00
1.37326,1.37327,1.37319,1.37326,25.0,2021-01-26 11:59:30
1.37326,1.37326,1.37315,1.37316,22.0,2021-01-26 12:00:00
1.37316,1.37316,1.37295,1.37295,30.0,2021-01-26 12:00:30
1.37295,1.37302,1.37295,1.37297,24.0,2021-01-26 12:01:00
1.37297,1.37299,1.37287,1.37287,17.0,2021-01-26 12:01:30
1.37287,1.37287,1.37279,1.37279,11.0,2021-01-26 12:02:00
1.37279,1.37315,1.37279,1.3731,64.0,2021-01-26 12:02:30
1.3731,1.37316,1.37306,1.37315,21.0,2021-01-26 12:03:00
1.37315,1.37315,1.37306,1.37307,16.0,2021-01-26 12:03:30
1.37307,1.37322,1.37307,1.37321,17.0,2021-01-26 12:04:00
1.37319,1.37319,1.37313,1.37314,19.0,2021-01-26 12:04:30
1.37314,1.37319,1.37314,1.37319,17.0,2021-01-26 12:05:00
1.37319,1.37335,1.37317,1.37334,38.0,2021-01-26 12:05:30
1.37334,1.37334,1.37324,1.37324,17.0,2021-01-26 12:06:00
1.37324,1.37324,1.37315,1.37315,25.0,2021-01-26 12:06:30
1.37315,1.37315,1.37315,1.37315,7.0,2021-01-26 12:07:00
1.37315,1.37315,1.37313,1.37315,11.0,2021-01-26 12:07:30
1.37315,1.37315,1.37315,1.37315,7.0,2021-01-26 12:08:00
